,Product,Unit Price
826,Energizer Max AA 10 pz,"€ 10,80 alpz/1.0 pz"
827,Energizer Max AA Alkaline 6 pz,"€ 5,99 alpz/1.0 pz"
828,HP Cartuccia inchiostro originale nero 304XL,"€ 33,99 alpz/1.0 pz"
829,Tamoil 100% Sint SAE 5W-40 TD olio per motore 1 L Auto,"€ 11,90 alpz/1.0 pz"
830,Arexons Olio Motore ARX 5W40,"€ 11,90 alpz/1.0 pz"
831,Mandine Spremiagrumi MCJ50-18,"€ 17,90 alpz/1.0 pz"
832,"Moulinex ZU150810 Estrattore di Succo a Freddo, Facile da Pulire, Lavabile in Lavastoviglie, 150 W, 0.8 Litri, Plastica, Nero","€ 189,00 alpz/1.0 pz"
833,Staedtler Blister con 2 penne Noris nero,"€ 2,19 alpz/1.0 pz"
834,STABILO Matita in grafite - swano fluo - Pack da 12 - Colori assortiti,"€ 4,69 alpz/1.0 pz"
835,Giotto 24 Pastelli colorati laccati,"€ 11,50 alpz/1.0 pz"
836,"Bormioli Rocco Vaso Vetro Fido con Tappo Ermetico 0,5 lt","€ 3,39 alpz/1.0 pz"
837,Carioca Tita 24 pastelli colorati,"€ 4,99 alpz/1.0 pz"
838,Carrefour 1 Colla Stick 40G,"€ 2,99 alpz/1.0 pz"
839,Save Up LED Goccia Calda E14 3pz,"€ 8,49 alpz/1.0 pz"
840,Pigna Blocco Pignastyl a Spirale 8x12 cm 60 Fogli 80 gr,"€ 1,69 alpz/1.0 pz"
841,Alluflon Coperchio vetro 24 cm,"€ 7,99 alpz/1.0 pz"
842,PATTEX Millechiodi Tape Removibile 10 Strisce,"€ 6,49 alpz/1.0 pz"
843,Pengo Coperchio inox cm 28,"€ 9,90 alpz/1.0 pz"
844,FILA 4 penne cancellabili tratto cancellik,"€ 6,69 alpz/1.0 pz"
845,Bostik Super Mini istantaneo liquido 3 x 1 g,"€ 4,99 alpz/1.0 pz"
846,Bostik Super Gel istantaneo 3 g,"€ 3,79 alpz/1.0 pz"
847,"Sistema Lunch Box quadrato con alette 1,4 lt","€ 5,49 alpz/1.0 pz"
848,"Canon CLI-551 C/M/Y/BK w/sec cartuccia d'inchiostro 4 pz Originale Resa standard Nero, Ciano, Magenta, Giallo","€ 64,49 alpz/1.0 pz"
849,Brita Sistema filtrante per acqua On Tap - 1 filtro HF per 600L incluso,"€ 74,99 alpz/1.0 pz"
850,HP Cartuccia originale inchiostro nero ad alta capacità 364XL,"€ 28,99 alpz/1.0 pz"
851,Staedtler Blister con 2 penne a sfera Noris rosso,"€ 2,19 alpz/1.0 pz"
852,"TEX HOME Telo mare Spiderman 75x150 cm, 100% cotone, 300 gr","€ 19,99 alpz/1.0 pz"
853,Bostik Super Control⁺ istantaneo liquido 5 g,"€ 99,80 alkg/50.0 g"
854,Philips Led sfera vetro 40W E27 2700K,"€ 7,49 alpz/1.0 pz"
855,Philips Led goccia vetro 40W E27 2700K,"€ 5,99 alpz/1.0 pz"
856,Philips Led candela filamento 60W E14 2700K,"€ 9,99 alpz/1.0 pz"
857,Philips Led goccia vetro 75W E27 4000K non dim,"€ 7,99 alpz/1.0 pz"
858,Philips Led candela vetro 40W E14 2700K,"€ 7,49 alpz/1.0 pz"
859,Philips Led goccia vetro 60W E27 4000K non dim,"€ 6,99 alpz/1.0 pz"
860,"Snips Lunch Box Quadrato 1,4 lt","€ 6,99 alpz/1.0 pz"
861,Energizer Magnet Handheld,"€ 9,99 alpz/1.0 pz"
862,Philips Led sfera filamento 40W E27 2700K,"€ 8,49 alpz/1.0 pz"
863,"Moulinex LM811D FRULLATORE PERFECTMIX + POWELIX, Potenza 1200 W","€ 118,00 alpz/1.0 pz"
864,"Imetec Frulla&Gusta 0,8 L Frullatore da tavolo 500 W Verde, Trasparente, Bianco","€ 49,90 alpz/1.0 pz"
865,"Ariete Blendy 0,8 L Frullatore da tavolo 350 W Arancione, Bianco","€ 39,90 alpz/1.0 pz"
866,Philips Led candela vetro 60W E14 2700K,"€ 8,49 alpz/1.0 pz"
867,Philips Led faretto in vetro 50W GU10 2700K,"€ 6,99 alpz/1.0 pz"
868,Philips Led globo vetro 120W E27 2700K,"€ 15,90 alpz/1.0 pz"
869,Philips Led candela vetro 60W E14 4000K non dim,"€ 8,49 alpz/1.0 pz"
870,Philips Led goccia vetro 120W E27 4000K,"€ 13,90 alpz/1.0 pz"
871,Philips Led sfera vetro 40W E14 2700K,"€ 7,49 alpz/1.0 pz"
872,Philips Led sfera vetro 25W E27 2700K,"€ 5,99 alpz/1.0 pz"
873,Philips Led goccia vetro 120W E27 2700K,"€ 13,90 alpz/1.0 pz"
874,Philips Led goccia filamento 75W E27 2700K,"€ 8,99 alpz/1.0 pz"
875,Philips Led goccia filamento 60W E27 2700K,"€ 7,99 alpz/1.0 pz"
876,Philips Led candela filamento 40W E14 2700K,"€ 8,49 alpz/1.0 pz"
877,Philips Led goccia vetro 150W E27 2700K,"€ 16,90 alpz/1.0 pz"
878,Philips Special Led T25 25W E14 2700K non dim,"€ 6,99 alpz/1.0 pz"
879,Philips Led sfera vetro 25W E14 2700K,"€ 5,99 alpz/1.0 pz"
880,Philips Led goccia filamento 100W E27 2700K,"€ 12,90 alpz/1.0 pz"
881,Energizer X-Focus,"€ 8,99 alpz/1.0 pz"
882,Pigna Ricambi Pignaric A4 Rinforzato 40 Fogli,"€ 2,99 alpz/1.0 pz"
883,Philips Led goccia 60W E27 4000K 2 pz,"€ 11,90 alpz/1.0 pz"
884,Philips Led tortiglione filamento 25W E14 2700K,"€ 6,49 alpz/1.0 pz"
885,Duracell Optimum AAA Batterie Stilo Alcaline 1.5 V LR03 MX2400 confezione da 4 Pile Duracell,"€ 6,69 alpz/1.0 pz"
886,Philips Led goccia vetro 60W E27 2700K,"€ 6,99 alpz/1.0 pz"
887,De’Longhi CTLAP2203.Y 2 fetta/e 550 W Giallo,"€ 49,90 alpz/1.0 pz"
888,Energizer Led Light,"€ 3,49 alpz/1.0 pz"
889,HP Cartuccia inchiostro originale tricromia 304XL,"€ 37,99 alpz/1.0 pz"
890,Sharp EL-1750V calcolatrice,"€ 69,99 alpz/1.0 pz"
891,Tefal ZP12E838 spremiagrumi Nero,"€ 24,90 alpz/1.0 pz"
892,Sharp EL-M335 calcolatrice Desktop Calcolatrice di base Rosso,"€ 18,99 alpz/1.0 pz"
893,Sharp EL-M335 calcolatrice Desktop Calcolatrice di base Blu,"€ 18,99 alpz/1.0 pz"
894,Sharp EL-M335 calcolatrice Desktop Calcolatrice di base Rosa,"€ 18,99 alpz/1.0 pz"
895,Sharp EL-310W calcolatrice Desktop Calcolatrice finanziaria Bianco,"€ 14,99 alpz/1.0 pz"
896,Sharp EL-510RNB calcolatrice Tasca Calcolatrice scientifica Nero,"€ 18,99 alpz/1.0 pz"
897,"Beurer KS 34 Inox, Bilancia da Cucina con Portata fino a 15 kg","€ 32,90 alpz/1.0 pz"
898,"Carrefour home Contenitore Rettangolare 1,8 L","€ 6,49 alpz/1.0 pz"
899,PHILIPS LED goccia 100W E27 2700 non dim pack doppio,"€ 14,90 alpz/1.0 pz"
900,Philips Dimmable Led goccia 100W E27 2200-2700K dim warm glow,"€ 14,90 alpz/1.0 pz"
901,ELMERS GLITTER SLIME KIT EMEA,"€ 19,99 alpz/1.0 pz"
902,"TEX Limited Edition Borsa Logomania Chic in tela, turchese","€ 2,00 alpz/1.0 pz"
903,"TEX Limited Edition Borsa Logomania Crazy in tela, rosa","€ 2,00 alpz/1.0 pz"
904,Mitama Calcolatrice Scientifica Genius,"€ 15,99 alpz/1.0 pz"
905,Guardini Tortiera apribile 1 fondo 24cm,"€ 11,90 alpz/1.0 pz"
906,Simpl 2 Torcia LR20,"€ 2,05 alpz/1.0 pz"
907,Imetec Tosta&Griglia,"€ 49,90 alpz/1.0 pz"
908,"Brita Fill&Go Bottle Filtr Lime Bottiglia per filtrare l'acqua Lime, Trasparente","€ 16,99 alpz/1.0 pz"
909,"Sistema To Go Contenitore per il pranzo 1,1 L Polipropilene (PP) Colori assortiti 1 pz","€ 9,99 alpz/1.0 pz"
910,"Brita Fill&Go Bottle Filtr Blue Bottiglia per filtrare l'acqua 0,6 L Blu, Trasparente","€ 16,99 alpz/1.0 pz"
911,Mitama Calcolatrice Office Desk Genius,"€ 15,99 alpz/1.0 pz"
912,Mitama Calcolatrice Colortouch Pocket,"€ 7,99 alpz/1.0 pz"
913,Philips Led Ultra Efficient sfera filamento 75W E27 4000K,"€ 14,90 alpz/1.0 pz"
914,BALMAR 2000 Copertina per quaderno A4 azzurro chiaro laccato 180μm,"€ 1,69 alpz/1.0 pz"
915,BALMAR 2000 Copertina per quaderno A4 arancio chiaro laccato 180μm,"€ 1,69 alpz/1.0 pz"
916,"Bic Cristal large blu 1,6 mm 5 pz","€ 2,29 alpz/1.0 pz"
917,Carrefour Nastro adesivo 25mx19mm con supporto,"€ 2,49 alpz/1.0 pz"
919,De’Longhi CTLAP2203.R 2 fetta/e 550 W Rosso,"€ 49,90 alpz/1.0 pz"
920,Wolbu 3LED GOCCIA 60w e27 Luce Fredda,"€ 6,99 alpz/1.0 pz"
921,Maped Squadra in plastica 45° - 32 cm nella confezione appendibile a marchio CARREFOUR,"€ 2,49 alpz/1.0 pz"
922,Carrefour 240 Anelli per rinforzo buchi fogli,"€ 1,89 alpz/1.0 pz"
923,"Giotto Pastelli a cera, confezione da 12 pezzi","€ 2,69 alpz/1.0 pz"
924,FILA 2 penne cancellabili tratto cancellik blu con gomma,"€ 3,49 alpz/1.0 pz"
925,FILA Evidenziatore arancione,"€ 1,35 alpz/1.0 pz"
926,Carioca 18 Matite colori assortiti,"€ 3,99 alpz/1.0 pz"
927,"STABILO Matita bicolore rosso/blu, confezione da 3 pezzi","€ 2,09 alpz/1.0 pz"
928,Maped Goniometro 360° in plastica,"€ 1,99 alpz/1.0 pz"
929,Post-it Notes Giallo 51 mm x 38 mm 100 foglietti 3 pz,"€ 2,99 alpz/1.0 pz"
930,Pilot Penna a sfera nera Frixion Cliker cancellabile,"€ 4,69 alpz/1.0 pz"
931,Philips Led Ultra Efficient sfera filamento 60W E27 3000K,"€ 11,90 alpz/1.0 pz"
932,"Tefal KO1508 bollitore elettrico 1,5 L 2400 W Nero","€ 16,90 alpz/1.0 pz"
933,"Moulinex Principio bollitore elettrico 1,2 L 2400 W Nero","€ 46,90 alpz/1.0 pz"
934,Inoxriv S.p.A. Bollilatte River 12 cm 0.8 L,"€ 9,90 alpz/1.0 pz"
935,Carrefour Home Teglia ovale 39 x 27 cm,"€ 10,90 alpz/1.0 pz"
936,Fackelmann Tagliere in faggio 40 x 40 cm,"€ 14,90 alpz/1.0 pz"
937,"Kenwood BLP31.A0WH frullatore 1,6 L Frullatore da tavolo 350 W Bianco","€ 44,90 alpz/1.0 pz"
938,Carrefour Home Padella 32 cm per induzione con rivestimento effetto pietra,"€ 24,90 alpz/1.0 pz"
939,Tognana Porcellane Mini Padella 14cm Stone&Wood,"€ 12,90 alpz/1.0 pz"
940,moneta Etnea Pro Tegame 2 Maniglie ø cm. 32,"€ 32,90 alpz/1.0 pz"
941,Inoxriv S.p.A. River 5 L Acciaio inossidabile,"€ 19,90 alpz/1.0 pz"
942,Zenker 7682 stampo da forno Teglia apribile 1 pz,"€ 8,99 alpz/1.0 pz"
943,Ghidini Cipriano Rotella Tagliapasta,"€ 3,59 alpz/1.0 pz"
944,Carrefour Trapano percussione a filo 750W,"€ 34,90 alpz/1.0 pz"
945,Carrefour Simpl Set Casseruole 14-16-20 cm Antiaderente,"€ 14,90 alpz/1.0 pz"
946,Carrefour Scatola 2 Bottiglie Avana,"€ 2,99 alpz/1.0 pz"
947,Carrefour Shopper VINO Lux colore fondo Verde -stampa oro a caldo misura 13x8x39 h,"€ 1,99 alpz/1.0 pz"
948,"Carrefour Shopper VINO Lux colore fondo Bordeaux , stampa oro a caldo misura 13x8x39 h","€ 1,99 alpz/1.0 pz"
949,"Carrefour Shopper VINO Lux colore fondo nero, stampa oro a caldo misura 13x8x39 h","€ 1,99 alpz/1.0 pz"
950,Carrefour Shop Vino Blu,"€ 1,99 alpz/1.0 pz"
951,"Carrefour 3 led goccia 60W, attacco E27, luce fredda","€ 7,99 alpz/1.0 pz"
952,"Carrefour Led goccia smerigliata 60W, attacco E27, luce calda","€ 4,99 alpz/1.0 pz"
953,"Carrefour 2 led faretto 50W, attacco GU5.3, luce calda","€ 7,99 alpz/1.0 pz"
954,"Carrefour 2 led faretto 50W, attacco GU5.3, luce fredda","€ 7,99 alpz/1.0 pz"
955,"Carrefour Led goccia con filamenti 40W, attacco E27, luce calda","€ 3,99 alpz/1.0 pz"
956,"Carrefour 2 led tort con filamenti 40W, attacco E27, luce calda","€ 6,49 alpz/1.0 pz"
957,"Carrefour 3 led goccia 60W, attacco E27, luce calda","€ 7,99 alpz/1.0 pz"
958,"Carrefour 2 led tort smerigliata 40W, attacco E14, luce calda","€ 6,49 alpz/1.0 pz"
959,"Carrefour 2 led sfer con filmaneti 60W, attacco E27, luce calda","€ 5,99 alpz/1.0 pz"
960,"Carrefour Led Globo con filamenti 60W,attacco E27,luce calda","€ 7,99 alpz/1.0 pz"
961,"Carrefour 2 led candela smerigliata 40W, attacco E14, luce calda","€ 6,49 alpz/1.0 pz"
962,"Carrefour 2 led faretto 50W, attacco GU10, luce calda","€ 4,99 alpz/1.0 pz"
963,"Carrefour 2 led sfer smerigliata 40W, attacco E27, luce calda","€ 4,99 alpz/1.0 pz"
964,Carrefour Stampo per torta diametro 30 cm,"€ 5,90 alpz/1.0 pz"
965,Carrefour Stampi tartellette 4 pezzi,"€ 5,49 alpz/1.0 pz"
966,Carrefour Stampo Savarin diametro 24 cm,"€ 6,90 alpz/1.0 pz"
967,Carrefour Stampo crostata diametro 27 cm,"€ 5,79 alpz/1.0 pz"
968,Carrefour Nastro maschera 25x50,"€ 4,99 alpz/1.0 pz"
969,Carrefour 6 pile I-Tech stilo AA,"€ 5,19 alpz/1.0 pz"
970,Macom Macchina Sottovuoto VAC 1070,"€ 74,90 alpz/1.0 pz"
971,"Carrefour 2 led sfer smerigliata 60W, attacco E27, luce calda","€ 5,99 alpz/1.0 pz"
972,"Carrefour 3 led sferica 40W, attacco E27, luce calda","€ 7,99 alpz/1.0 pz"
973,"Carrefour 2 led sfer smerigliata 40W, attacco E14, luce calda","€ 4,99 alpz/1.0 pz"
974,"Carrefour 2 led sfer con filamenti 40W, attacco E27, luce calda","€ 4,99 alpz/1.0 pz"
975,"Carrefour Led goccia smerigliata 75W, attacco E27, luce fredda","€ 5,99 alpz/1.0 pz"
976,"Carrefour Led goccia con filamenti 100W, attacco E27, luce calda","€ 6,49 alpz/1.0 pz"
977,"Carrefour Led goccia smerigliata 40W, attacco E27, luce calda","€ 3,99 alpz/1.0 pz"
978,"Carrefour Led goccia smerigliata 100W, attacco E27, luce fredda","€ 6,49 alpz/1.0 pz"
979,"Carrefour Led Globo smerigliata 100W, attacco E27, luce calda","€ 11,90 alpz/1.0 pz"
980,"Carrefour 3 led sferica 40W, attacco E27, luce fredda","€ 7,99 alpz/1.0 pz"
981,"Carrefour 2 led faretto 50W, attacco GU10, luce fredda","€ 4,99 alpz/1.0 pz"
982,Carrefour 2 pile I-Tech torcia LR20-D,"€ 4,19 alpz/1.0 pz"
983,Nespoli Group Kit rullo+rete,"€ 5,00 alpz/1.0 pz"
984,Ariete 0180 Sous vide circolatore a immersione,"€ 79,90 alpz/1.0 pz"
985,"Carrefour Led goccia con filamenti 60W, attacco E27, luce calda","€ 4,99 alpz/1.0 pz"
986,"Carrefour Led goccia con filamenti 75W, attacco E27, luce calda","€ 5,99 alpz/1.0 pz"
987,Carrefour SET 6 cacciaviti,"€ 5,99 alpz/1.0 pz"
988,Carrefour SET 7 chiavi esagonali,"€ 3,49 alpz/1.0 pz"
989,Simpl SET 17 utensili Con Pinze,"€ 19,90 alpz/1.0 pz"
990,Carrefour Nastro maschera 50x25,"€ 3,49 alpz/1.0 pz"
991,Carrefour Nastro maschera 50x48,"€ 4,49 alpz/1.0 pz"
992,Carrefour Nastro biadesivo 5x50,"€ 2,99 alpz/1.0 pz"
993,Carrefour Nastro riparazione nero 3x25,"€ 2,99 alpz/1.0 pz"
994,Carrefour Nastro riparazione nero 5x50,"€ 2,99 alpz/1.0 pz"
995,Carrefour Nastro riparazione nero 10x50,"€ 2,99 alpz/1.0 pz"
996,"Carrefour Biadesivo esterno 1,5x19","€ 2,99 alpz/1.0 pz"
997,Nespoli Group Rullo 22 con pertica estendibile da 110 a 200,"€ 6,90 alpz/1.0 pz"
998,"Moulinex DD4521 Easychef, Mixer ad Immersione 2in1, con Bicchiere da 800 ml e Accessorio Tritatutto da 500 ml, 2 Impostazioni di Velocità, Facile da Pulire, Potenza 450 W","€ 34,90 alpz/1.0 pz"
999,Philips Kit Gasatore acqua,"€ 69,90 alpz/1.0 pz"
1000,Simpl LED Sferica 40W E14 CW,"€ 1,99 alpz/1.0 pz"
1001,Simpl LED Faretto 50W GU10 WW,"€ 1,99 alpz/1.0 pz"
1002,Simpl LED Candela 40W E14 CW,"€ 1,99 alpz/1.0 pz"
1003,Simpl LED Faretto 50W GU10 CW,"€ 1,99 alpz/1.0 pz"
1004,Simpl LED Goccia 60W E27 CW,"€ 1,99 alpz/1.0 pz"
1005,Simpl LED Sferica 40W E27 CW,"€ 1,99 alpz/1.0 pz"
1006,Termozeta Sbattitore manuale 150 W Bianco,"€ 19,90 alpz/1.0 pz"
1007,Simpl Crepiere 25cm.,"€ 7,49 alpz/1.0 pz"
1008,Bluesky Bollitore BWK18B-23,"€ 14,90 alpz/1.0 pz"
1009,Mandine Mini Chopper Mmc500W-22,"€ 19,90 alpz/1.0 pz"
1010,Carrefour Sale Antighiaccio 10Kg,"€ 3,19 alpz/1.0 pz"
1011,Maped Forbici Security 3D 13 cm,"€ 3,99 alpz/1.0 pz"
1012,Pritt Colla Stick 43g,"€ 4,59 alpz/1.0 pz"
1013,Petronas Selenia Benzina Lt.4 10W40,"€ 45,90 alpz/1.0 pz"
1014,Staedtler Temperamatite a 2 Fori con Contenitore,"€ 2,79 alpz/1.0 pz"
1015,moneta Etnea Bistecchiera cm 28x28,"€ 31,90 alpz/1.0 pz"
1016,Carrefour Squadra 60° 32 cm,"€ 2,49 alpz/1.0 pz"
1017,Botti Compassi Botti Compasso balaustrone fisso colorato,"€ 8,99 alpz/1.0 pz"
1018,Bostik Grizzly Tape Grigio 10 M,"€ 6,99 alpz/1.0 pz"
1019,Rhütten Acquaragia Solvente Smalti e Vernici 1L,"€ 4,99 alpz/1.0 pz"
1020,Tamoil Sint olio per motore,"€ 36,90 alpz/1.0 pz"
1021,Loctite Super Attak MiniTrio Power Flex 3 x 1 g,"€ 5,19 alpz/1.0 pz"
1022,Elmer's Colla liquida glitterata viola,"€ 7,29 alpz/1.0 pz"
1023,"Bormioli Rocco Vaso Vetro Fido con Tappo Ermetico 0,75 lt","€ 3,99 alpz/1.0 pz"
1024,Pedrini Caffettiera 1 tazza antracite,"€ 11,90 alpz/1.0 pz"
1025,Pigna Nature flowers Cartoncino Multicolore,"€ 1,08 alpz/6.0 pz"
1026,Pigna Buste Trasparenti A4 Monocromo,"€ 1,89 alpz/1.0 pz"
1027,Pilot Penna A Sfera Frixion Cliker Cancellabile Rosso,"€ 4,69 alpz/1.0 pz"
1028,"BIC Cristal Soft, Penne Blu a Sfera (Punta Media 1.2mm), Confezione da 10","€ 4,29 alpz/1.0 pz"
1029,De’Longhi CTLAP2203.GR 2 fetta/e 550 W Verde,"€ 49,90 alpz/1.0 pz"
1030,MICHELIN 9071 rivestimento interno e accessorio per veicoli Tappeto,"€ 29,90 alpz/1.0 pz"
1031,Bosch ECO 450 UC Tergicristallo,"€ 9,99 alpz/1.0 pz"
1032,Bosch ECO 500 UC Tergicristallo,"€ 8,99 alpz/1.0 pz"
1033,Brita Filtri per acqua MicroDisc Pack 3 - Per 3 mesi di filtrazione,"€ 14,99 alpz/1.0 pz"
1034,Aeternum Tegame Madame Petravera 24 cm,"€ 24,40 alpz/1.0 pz"
1035,Pilot Penna A Sfera Frixion Cliker Cancellabile Blu,"€ 4,69 alpz/1.0 pz"
1036,HP Cartuccia originale inchiostro nero 302,"€ 20,99 alpz/1.0 pz"
1037,Carioca Pennarelli JOY Punta Fine 18 pezzi,"€ 3,49 alpz/1.0 pz"
1038,Fabriano Blocco da disegno 20FG. F4 33X48cm riquadrato,"€ 13,29 alpz/1.0 pz"
1039,HP Cartuccia originale inchiostro nero ad alta capacità 302XL,"€ 41,99 alpz/1.0 pz"
1040,Staedtler 4 matite Noris in gradazioni assortite,"€ 4,39 alpz/1.0 pz"
1041,"Bosch 1930434 porta, finestrino e componente per auto Tergicristallo","€ 17,90 alpz/1.0 pz"
1042,Giotto Turbo Color Multi 24 pz,"€ 3,99 alpz/1.0 pz"
1043,Pritt Colla Stick 43g,"€ 4,59 alpz/1.0 pz"
1044,"Bosch 1930465 porta, finestrino e componente per auto Tergicristallo","€ 14,90 alpz/1.0 pz"
1045,Arexons Elimina Ghiaccio Spray ml 300,"€ 3,99 alpz/1.0 pz"
1046,moneta Etnea Padella cm ø 20,"€ 16,90 alpz/1.0 pz"
1047,Carrefour Nastro adesivo trasparente 66 m,"€ 4,49 alpz/1.0 pz"
1048,"Pattex Millechiodi Nastro biadesivo 19mm 1,5 m","€ 7,99 alpz/1.0 pz"
1049,Carrefour Pentola a Pressione Royal Norfolk Inox 5 Litri,"€ 29,90 alpz/1.0 pz"
1050,Loctite Super Attak Perfect pen 3 g,"€ 6,29 alpz/1.0 pz"
1051,Rhütten Diluente Nitro Antinebbia per Vernici Nitrocellulosa 1L,"€ 4,99 alpz/1.0 pz"
1052,moneta Etnea coperchio in vetro con bordo in silicone cm ø 20,"€ 11,90 alpz/1.0 pz"
1053,moneta Etnea casseruola 1 manico cm ø 16,"€ 18,90 alpz/1.0 pz"
1054,Energizer Max Plus AA Alkaline 6 pz,"€ 6,79 alpz/1.0 pz"
1055,Energizer Max AAA 10 pz,"€ 10,50 alpz/1.0 pz"
1056,Staedtler Blister con 2 penne blu Noris,"€ 2,19 alpz/1.0 pz"
1057,Fackelmann Colino Ø7 CM,"€ 3,49 alpz/1.0 pz"
1058,Bic Electronic 2 accendini,"€ 2,69 alpz/1.0 pz"
1059,moneta Etnea Pro Padella ø cm. 34,"€ 32,90 alpz/1.0 pz"
1060,Carrefour Home Casseruola 1 manico 18 cm per induzione con rivestimento effetto pietra,"€ 16,90 alpz/1.0 pz"
1061,Rhütten Liquido Radiatori -20°C 1L Pronto all'uso,"€ 4,49 alpz/1.0 pz"
1062,"Innoliving INN-703 spremiagrumi Centrifuga spremiagrumi 40 W Verde, Bianco","€ 19,90 alpz/1.0 pz"
1063,"Innoliving INN-702 sbattitore Sbattitore manuale 250 W Verde, Bianco","€ 24,90 alpz/1.0 pz"
1064,ELM MTLC SLIME KIT PE,"€ 19,99 alpz/1.0 pz"
1065,Energizer Accu Recharge Extreme AAA 2 pz,"€ 11,90 alpz/1.0 pz"
1066,Energizer A23 Alkaline 2 pz,"€ 3,59 alpz/1.0 pz"
1067,Energizer LR44/A76 Alkaline 2 pz,"€ 3,09 alpz/1.0 pz"
1068,Energizer Max Plus 9V Transistor 1 pz,"€ 6,29 alpz/1.0 pz"
1069,Duracell 2025 Batteria Bottone al Litio Specialistica 3V pacco da 2 pile con Tecnologia Baby Secure,"€ 5,19 alpz/1.0 pz"
1070,Energizer 2032 Ultimate Lithium 2 pz,"€ 4,99 alpz/1.0 pz"
1071,zenker Spargifarina / zucchero a velo,"€ 5,49 alpz/1.0 pz"
1072,Borraccia termica colore blu navy 0.5L,"€ 9,90 alpz/1.0 pz"
1073,Maped Temperamatite Croc Croc Signal 1 Foro,"€ 2,99 alpz/1.0 pz"
1074,"BIC 4 Colori Grip, Penn a Sfera a Scatto (Punta 1mm), Blu, Confezione da 1","€ 2,99 alpz/1.0 pz"
1075,"BIC 942103 penna a sfera Nero, Blu, Rosso, Argento Penna a sfera multifunzione Medio 1 pz","€ 4,29 alpz/1.0 pz"
1076,"BIC Gel-Ocity QuickDry, Penne Multicolore Gel A Scatto e Ricaricabile (Punta 0.7mm), Confezione da 2","€ 4,59 alpz/1.0 pz"
1077,PaperDream Solar Collection quaderno A4 maxi 80gr rigatura A,"€ 1,00 alpz/1.0 pz"
1078,Maped Temperamatite Croc Croc Innovation 1 Foro,"€ 3,99 alpz/1.0 pz"
1079,Duracell Optimum AA Batterie Stilo Alcaline 1.5 V LR06 MX1500 confezione da 8 Pile Duracell,"€ 11,20 alpz/1.0 pz"
1080,Carioca Jumbo marcatore Extra grassetto Multicolore 12 pz,"€ 2,99 alpz/1.0 pz"
1081,"Pattex Biadesivo Power Fix Brico 19mmx1,5m","€ 4,49 alpz/1.0 pz"
1082,"BIC Gel-Ocity QuickDry, Penna Blu Gel A Scatto e Ricaricabile (Punta 0.7mm), Confezione da 1","€ 2,49 alpz/1.0 pz"
1083,Mitama Penne For Fun 4 Colori Trendy pz.2 Multicolore Penna a sfera multifunzione 2 pz,"€ 2,49 alpz/1.0 pz"
1084,Petronas Olio Selenia 5W30 C3 Benzina-Diesel lt4,"€ 54,90 alpz/1.0 pz"
1085,MA-FRA Tergy 4 Lavavetro Pluristagionale con Versatore 4500ml,"€ 7,49 alpz/1.0 pz"
1086,Duracell Plus AA Batterie Stilo Alcaline confezione da 12 1.5V LR06 MX1500 Pile Duracell,"€ 13,40 alpz/1.0 pz"
1087,Belli e Forti Frigobox Frigobella Rett 1Lt,"€ 1,19 alpz/1.0 pz"
1088,4 pile ministilo alcaline,"€ 3,09 alpz/1.0 pz"
1089,Lubex AdBlue Bottiglia 10000 ml,"€ 21,90 alpz/1.0 pz"
1090,Petronas Selenia Turbodiesel Lt.4 10W40,"€ 45,90 alpz/1.0 pz"
1091,PaperDream Solar Collection quaderno A4 maxi 80gr rigatura 5M,"€ 1,00 al pz/1.0 pz"
1092,Bic 4 Colours Fun 1 pz,"€ 2,99 alpz/1.0 pz"
1093,Blasetti Ricambi con perforatura rinforzata antistrappo 100 g/m² 15 Fogli 5M,"€ 1,69 alpz/1.0 pz"
1094,Giotto Pongo Fantasia 10 x 50 g,"€ 4,65 alpz/1.0 pz"
1095,Giotto Stilnovo 12 Pastelli colorati,"€ 4,90 alpz/1.0 pz"
1096,Staedtler Lumocolor whiteboard marker in Box,"€ 5,69 alpz/1.0 pz"
1097,Duracell LR44 Batteria Bottone Alcalino Specialistica 1.5V confezione da 2 76A A76 V13GA,"€ 4,19 alpz/1.0 pz"
1098,Duracell 2016 Batteria Bottone al Litio Specialistica 3V confezione da 2 DL2016 CR2016,"€ 5,19 alpz/1.0 pz"
1099,Einhell Seghetto 400w New EHL,"€ 39,90 alpz/1.0 pz"
1100,PaperDream Solar Collection quaderno A4 maxi 80gr rigatura 10M,"€ 1,00 alpz/1.0 pz"
1101,Energizer MAX AAA Batteria monouso Mini Stilo AAA Alcalino,"€ 6,49 alpz/1.0 pz"
1102,Blasetti Maxi quaderno A4 One Color PPL 80 g/m² Righe 1R,"€ 1,69 alpz/1.0 pz"
1103,STABILO Evidenziatore - BOSS ORIGINAL - Pack da 2 - Giallo/Verde,"€ 3,29 alpz/1.0 pz"
1104,Giotto Minigomma Pastel 5 pz,"€ 2,29 alpz/1.0 pz"
1105,Pentel Roller EnerGel X a scatto 0.7 mm blu 1 pz,"€ 2,59 alpz/1.0 pz"
1106,Post-It Notes 450,"€ 7,99 alpz/1.0 pz"
1107,Maped Temperamatite Croc Croc Universal 2 fori - 4 diametri,"€ 4,99 alpz/1.0 pz"
1108,Carrefour 2 Pile alcaline A23,"€ 2,05 alpz/1.0 pz"
